migration_group,old_root,old_subcategory,slug,new_root,new_subcategory,old_url,new_url,product_id,sku,current_category_slug,current_subcategory_slug,target_taxonomy_path,publication_status,pdp_visibility,listing_visibility,seo_indexing,sitemap_include,search_state,notes,name,current_category_name,current_subcategory_name,current_product_type,current_product_sub_type,target_taxon_slug,target_taxon_name,is_active,stock_status,canonical_runtime_url,old_url_matches_legacy_shape,new_url_matches_taxonomy_shape,redirect_db_exact_old_url,redirect_db_exact_to_expected_new_url,redirect_collision,redirect_chain_risk,redirect_loop_risk,root_listing_impact,featured_block_impact,filter_derivation_impact,admin_query_impact,breadcrumb_label_risk,migrate_readiness,action_needed
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-noi-that-ecocarat-plus-luxury-mosaic-inax-ecp-25netlux,gach-op-lat,gach-inax-ecocarat,/thiet-bi-ve-sinh/all/gach-noi-that-ecocarat-plus-luxury-mosaic-inax-ecp-25netlux,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-luxury-mosaic-inax-ecp-25netlux,7824,ECP-25NET-LUX-12,thiet-bi-ve-sinh,,gach-op-lat/gach-inax-ecocarat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Gạch nội thất ECOCARAT PLUS LUXURY MOSAIC INAX ECP-25NET/LUX,Thiết bị vệ sinh,,,,gach-inax-ecocarat,Gạch Inax Ecocarat,true,in_stock,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-luxury-mosaic-inax-ecp-25netlux,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-noi-that-ecocarat-plus-pearl-mask-inax-ecp-60netpmk,gach-op-lat,gach-inax-ecocarat,/thiet-bi-ve-sinh/all/gach-noi-that-ecocarat-plus-pearl-mask-inax-ecp-60netpmk,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-pearl-mask-inax-ecp-60netpmk,7826,ECP-60NET/PMK11,thiet-bi-ve-sinh,,gach-op-lat/gach-inax-ecocarat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Gạch nội thất ECOCARAT PLUS PEARL MASK INAX ECP-60NET/PMK,Thiết bị vệ sinh,,,,gach-inax-ecocarat,Gạch Inax Ecocarat,true,in_stock,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-pearl-mask-inax-ecp-60netpmk,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-noi-that-ecocarat-plus-quilt-inax-ecp-60netqlt,gach-op-lat,gach-inax-ecocarat,/thiet-bi-ve-sinh/all/gach-noi-that-ecocarat-plus-quilt-inax-ecp-60netqlt,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-quilt-inax-ecp-60netqlt,7827,ECP-60NET/QLT2,thiet-bi-ve-sinh,,gach-op-lat/gach-inax-ecocarat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Gạch nội thất ECOCARAT PLUS QUILT INAX ECP-60NET/QLT,Thiết bị vệ sinh,,,,gach-inax-ecocarat,Gạch Inax Ecocarat,true,in_stock,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-quilt-inax-ecp-60netqlt,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-noi-that-ecocarat-plus-quilt-inax-ecp-60netqlt-2,gach-op-lat,gach-inax-ecocarat,/thiet-bi-ve-sinh/all/gach-noi-that-ecocarat-plus-quilt-inax-ecp-60netqlt-2,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-quilt-inax-ecp-60netqlt-2,12027,ECP-60NET/QLT1,thiet-bi-ve-sinh,,gach-op-lat/gach-inax-ecocarat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Gạch nội thất ECOCARAT PLUS QUILT INAX ECP-60NET/QLT,Thiết bị vệ sinh,,,,gach-inax-ecocarat,Gạch Inax Ecocarat,true,in_stock,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-quilt-inax-ecp-60netqlt-2,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-noi-that-ecocarat-plus-ribmix-inax-ecp-303rbm,gach-op-lat,gach-inax-ecocarat,/thiet-bi-ve-sinh/all/gach-noi-that-ecocarat-plus-ribmix-inax-ecp-303rbm,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-ribmix-inax-ecp-303rbm,7822,ECP-303/RBM2N,thiet-bi-ve-sinh,,gach-op-lat/gach-inax-ecocarat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Gạch nội thất ECOCARAT PLUS RIBMIX INAX ECP-303/RBM,Thiết bị vệ sinh,,,,gach-inax-ecocarat,Gạch Inax Ecocarat,true,in_stock,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-ribmix-inax-ecp-303rbm,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-noi-that-ecocarat-plus-ribmix-inax-ecp-303rbm-2,gach-op-lat,gach-inax-ecocarat,/thiet-bi-ve-sinh/all/gach-noi-that-ecocarat-plus-ribmix-inax-ecp-303rbm-2,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-ribmix-inax-ecp-303rbm-2,12032,ECP-303/RBM1N,thiet-bi-ve-sinh,,gach-op-lat/gach-inax-ecocarat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Gạch nội thất ECOCARAT PLUS RIBMIX INAX ECP-303/RBM,Thiết bị vệ sinh,,,,gach-inax-ecocarat,Gạch Inax Ecocarat,true,in_stock,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-ribmix-inax-ecp-303rbm-2,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-noi-that-ecocarat-plus-rough-quartz-inax-ecp-375rtz,gach-op-lat,gach-inax-ecocarat,/thiet-bi-ve-sinh/all/gach-noi-that-ecocarat-plus-rough-quartz-inax-ecp-375rtz,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-rough-quartz-inax-ecp-375rtz,7829,ECP-375/RTZ1N,thiet-bi-ve-sinh,,gach-op-lat/gach-inax-ecocarat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Gạch nội thất ECOCARAT PLUS ROUGH QUARTZ INAX ECP-375/RTZ,Thiết bị vệ sinh,,,,gach-inax-ecocarat,Gạch Inax Ecocarat,true,in_stock,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-rough-quartz-inax-ecp-375rtz,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-noi-that-ecocarat-plus-roughsawn-inax-ecp-275rgs,gach-op-lat,gach-inax-ecocarat,/thiet-bi-ve-sinh/all/gach-noi-that-ecocarat-plus-roughsawn-inax-ecp-275rgs,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-roughsawn-inax-ecp-275rgs,7828,ECP-275NET/RGS1,thiet-bi-ve-sinh,,gach-op-lat/gach-inax-ecocarat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Gạch nội thất ECOCARAT PLUS ROUGHSAWN INAX ECP-275/RGS,Thiết bị vệ sinh,,,,gach-inax-ecocarat,Gạch Inax Ecocarat,true,in_stock,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-roughsawn-inax-ecp-275rgs,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-noi-that-ecocarat-plus-stone-grace-inax-ecp-630stg,gach-op-lat,gach-inax-ecocarat,/thiet-bi-ve-sinh/all/gach-noi-that-ecocarat-plus-stone-grace-inax-ecp-630stg,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-stone-grace-inax-ecp-630stg,7823,ECP-630/STG-1N,thiet-bi-ve-sinh,,gach-op-lat/gach-inax-ecocarat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Gạch nội thất ECOCARAT PLUS STONE GRACE INAX ECP-630/STG,Thiết bị vệ sinh,,,,gach-inax-ecocarat,Gạch Inax Ecocarat,true,in_stock,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-stone-grace-inax-ecp-630stg,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-noi-that-ecocarat-plus-vele-inax-ecp-30netwe,gach-op-lat,gach-inax-ecocarat,/thiet-bi-ve-sinh/all/gach-noi-that-ecocarat-plus-vele-inax-ecp-30netwe,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-vele-inax-ecp-30netwe,7825,ECO-30NET/WE2NN,thiet-bi-ve-sinh,,gach-op-lat/gach-inax-ecocarat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Gạch nội thất ECOCARAT PLUS VELE INAX ECP-30NET/WE,Thiết bị vệ sinh,,,,gach-inax-ecocarat,Gạch Inax Ecocarat,true,in_stock,/gach-op-lat/gach-inax-ecocarat/gach-noi-that-ecocarat-plus-vele-inax-ecp-30netwe,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-goc-ho-boi-25590-14-inax-25590-14pol-b1-b2-b3,gach-op-lat,gach-op-lat,/thiet-bi-ve-sinh/all/gach-goc-ho-boi-25590-14-inax-25590-14pol-b1-b2-b3,/gach-op-lat/gach-op-lat/gach-goc-ho-boi-25590-14-inax-25590-14pol-b1-b2-b3,7816,INAX-255/90-14/POL-B1-B2-B3,thiet-bi-ve-sinh,,gach-op-lat/gach-op-lat,public,public,low_priority,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),"Gạch góc hồ bơi 255/90-14 INAX-255/90-14/POL-B1,B2,B3",Thiết bị vệ sinh,,,,gach-op-lat,Gạch ốp lát,true,in_stock,/gach-op-lat/gach-op-lat/gach-goc-ho-boi-25590-14-inax-25590-14pol-b1-b2-b3,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-goc-ho-boi-25590-15-inax-25590-15pol-b1-b2-b3,gach-op-lat,gach-op-lat,/thiet-bi-ve-sinh/all/gach-goc-ho-boi-25590-15-inax-25590-15pol-b1-b2-b3,/gach-op-lat/gach-op-lat/gach-goc-ho-boi-25590-15-inax-25590-15pol-b1-b2-b3,7817,INAX-255/90-15/POL-B1-B2-B3,thiet-bi-ve-sinh,,gach-op-lat/gach-op-lat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),"Gạch góc hồ bơi 255/90-15 INAX-255/90-15/POL-B1,B2,B3",Thiết bị vệ sinh,,,,gach-op-lat,Gạch ốp lát,true,in_stock,/gach-op-lat/gach-op-lat/gach-goc-ho-boi-25590-15-inax-25590-15pol-b1-b2-b3,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-goc-ho-boi-47-inax-4790-14pol-b1-b2-b3,gach-op-lat,gach-op-lat,/thiet-bi-ve-sinh/all/gach-goc-ho-boi-47-inax-4790-14pol-b1-b2-b3,/gach-op-lat/gach-op-lat/gach-goc-ho-boi-47-inax-4790-14pol-b1-b2-b3,7818,INAX-47/90-14/POL-B1-B2-B3,thiet-bi-ve-sinh,,gach-op-lat/gach-op-lat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),"Gạch góc hồ bơi 47 INAX-47/90-14/POL-B1,B2,B3",Thiết bị vệ sinh,,,,gach-op-lat,Gạch ốp lát,true,in_stock,/gach-op-lat/gach-op-lat/gach-goc-ho-boi-47-inax-4790-14pol-b1-b2-b3,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-ho-boi-inax-22-5-x-22-5-1025pol-b1-2-3g1-2-3,gach-op-lat,gach-op-lat,/thiet-bi-ve-sinh/all/gach-ho-boi-inax-22-5-x-22-5-1025pol-b1-2-3g1-2-3,/gach-op-lat/gach-op-lat/gach-ho-boi-inax-22-5-x-22-5-1025pol-b1-2-3g1-2-3,7819,INAX-1025/POL-B1/B2/B3,thiet-bi-ve-sinh,,gach-op-lat/gach-op-lat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),"Gạch hồ bơi INAX 22.5 x 22.5 1025/POL-B1,2,3:G1,2,3",Thiết bị vệ sinh,,,,gach-op-lat,Gạch ốp lát,true,in_stock,/gach-op-lat/gach-op-lat/gach-ho-boi-inax-22-5-x-22-5-1025pol-b1-2-3g1-2-3,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-ho-boi-inax-47-x-47-47pol-b1-2-3-g1-2-3,gach-op-lat,gach-op-lat,/thiet-bi-ve-sinh/all/gach-ho-boi-inax-47-x-47-47pol-b1-2-3-g1-2-3,/gach-op-lat/gach-op-lat/gach-ho-boi-inax-47-x-47-47pol-b1-2-3-g1-2-3,7821,"INAX-47/POL-B1,B2,B3",thiet-bi-ve-sinh,,gach-op-lat/gach-op-lat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),"Gạch hồ bơi INAX 47 x 47 47/POL-B1,2,3: G1,2,3",Thiết bị vệ sinh,,,,gach-op-lat,Gạch ốp lát,true,in_stock,/gach-op-lat/gach-op-lat/gach-ho-boi-inax-47-x-47-47pol-b1-2-3-g1-2-3,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-ho-boi-inax-97-x-97-97pol-b1-2-3-g1-2-3,gach-op-lat,gach-op-lat,/thiet-bi-ve-sinh/all/gach-ho-boi-inax-97-x-97-97pol-b1-2-3-g1-2-3,/gach-op-lat/gach-op-lat/gach-ho-boi-inax-97-x-97-97pol-b1-2-3-g1-2-3,7820,INAX-97/POL-B1/B2/B3,thiet-bi-ve-sinh,,gach-op-lat/gach-op-lat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),"Gạch hồ bơi INAX 97 x 97 97/POL-B1,2,3: G1,2,3",Thiết bị vệ sinh,,,,gach-op-lat,Gạch ốp lát,true,in_stock,/gach-op-lat/gach-op-lat/gach-ho-boi-inax-97-x-97-97pol-b1-2-3-g1-2-3,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,keo-dan-gach-2kg-1-tuyp-inax-egr-v2sp-g3,gach-op-lat,gach-op-lat,/thiet-bi-ve-sinh/all/keo-dan-gach-2kg-1-tuyp-inax-egr-v2sp-g3,/gach-op-lat/gach-op-lat/keo-dan-gach-2kg-1-tuyp-inax-egr-v2sp-g3,7868,EGR-V2SP/G3,thiet-bi-ve-sinh,,gach-op-lat/gach-op-lat,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Keo dán gạch INAX EGR-V2SP/G3 (2kg / 1 tuýp),Thiết bị vệ sinh,,,,gach-op-lat,Gạch ốp lát,true,in_stock,/gach-op-lat/gach-op-lat/keo-dan-gach-2kg-1-tuyp-inax-egr-v2sp-g3,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-op-tuong-1525eac-earth-color-border-inax-1525eac,gach-op-lat,gach-op-tuong,/thiet-bi-ve-sinh/all/gach-op-tuong-1525eac-earth-color-border-inax-1525eac,/gach-op-lat/gach-op-tuong/gach-op-tuong-1525eac-earth-color-border-inax-1525eac,7856,INAX-1525/EAC-1,thiet-bi-ve-sinh,,gach-op-lat/gach-op-tuong,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Gạch ốp tường 1525/EAC-EARTH COLOR BORDER INAX-1525/EAC,Thiết bị vệ sinh,,,,gach-op-tuong,Gạch ốp tường,true,in_stock,/gach-op-lat/gach-op-tuong/gach-op-tuong-1525eac-earth-color-border-inax-1525eac,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-op-tuong-255-viz-inax-255viz,gach-op-lat,gach-op-tuong,/thiet-bi-ve-sinh/all/gach-op-tuong-255-viz-inax-255viz,/gach-op-lat/gach-op-tuong/gach-op-tuong-255-viz-inax-255viz,7859,INAX-255/VIZ-1,thiet-bi-ve-sinh,,gach-op-lat/gach-op-tuong,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),Thiết bị vệ sinh,,,,gach-op-tuong,Gạch ốp tường,true,in_stock,/gach-op-lat/gach-op-tuong/gach-op-tuong-255-viz-inax-255viz,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-op-tuong-355-viz-inax-355viz,gach-op-lat,gach-op-tuong,/thiet-bi-ve-sinh/all/gach-op-tuong-355-viz-inax-355viz,/gach-op-lat/gach-op-tuong/gach-op-tuong-355-viz-inax-355viz,7858,INAX-355-VIZ-10N,thiet-bi-ve-sinh,,gach-op-lat/gach-op-tuong,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),Thiết bị vệ sinh,,,,gach-op-tuong,Gạch ốp tường,true,in_stock,/gach-op-lat/gach-op-tuong/gach-op-tuong-355-viz-inax-355viz,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
thiet-bi-ve-sinh -> gach-op-lat,thiet-bi-ve-sinh,all,gach-op-tuong-355eac-earth-color-border-inax-355eac,gach-op-lat,gach-op-tuong,/thiet-bi-ve-sinh/all/gach-op-tuong-355eac-earth-color-border-inax-355eac,/gach-op-lat/gach-op-tuong/gach-op-tuong-355eac-earth-color-border-inax-355eac,7855,INAX-355/EAC-1,thiet-bi-ve-sinh,,gach-op-lat/gach-op-tuong,public,public,default,index,true,visible,category=thiet-bi-ve-sinh; subcategory=(null),Gạch ốp tường 355/EAC-EARTH COLOR BORDER INAX-355/EAC,Thiết bị vệ sinh,,,,gach-op-tuong,Gạch ốp tường,true,in_stock,/gach-op-lat/gach-op-tuong/gach-op-tuong-355eac-earth-color-border-inax-355eac,true,true,no,missing,none,no,no,high,high,high,high,medium,patch_before_migrate,legacy_fields_not_aligned_with_target
